link,foreignId,make,model,year,price,condition,kilometres,transmission,drivetrain,fueltype
14573233,1499656893,Chevrolet,Equinox,2018,N/A,Used,19500,Automatic,All-wheel drive (AWD),Diesel
14573238,1499656948,MINI,Cooper,2009,$4500,Used,206000,Manual,N/A,N/A
14573334,1499658112,Subaru,WRX,2004,$3000,Used,343000,Manual,All-wheel drive (AWD),Gas
14573335,1499658118,Dodge,Caravan,2009,$3500,Used,139000,Automatic,Front-wheel drive (FWD),N/A
14573336,1499658116,Chrysler,Le Baron,1985,N/A,Not roadworthy,120,N/A,N/A,N/A
14573339,1499658134,Subaru,WRX,2011,$15000,Used,123456,N/A,N/A,N/A
14573340,1499658142,GMC,Sierra 1500,2017,$28000,Used,104000,Automatic,Four-wheel drive,Gas
14573342,1499658212,Nissan,Versa,2017,$7850,Used,107500,Automatic,Front-wheel drive (FWD),Gas
14573343,1499658221,Jeep,Cherokee,2015,$23490,Used,73475,Automatic,All-wheel drive (AWD),Gas
14573344,1499658240,Porsche,911,2001,$26000,Used,97000,Manual,N/A,Gas
14573438,1499659129,Mercedes-Benz,C-Class,2007,$7500,Used,168000,N/A,N/A,N/A
14573439,22338438,Jeep,Compass,2015,$11995,Used,73000,Automatic,Front-wheel drive (FWD),Gas
14573440,22338432,Tesla,Model 3,2020,$73290,Used,50,Automatic,All-wheel drive (AWD),Electric
14573442,22338436,Tesla,Model 3,2020,$46690,Used,50,Automatic,Rear-wheel drive (RWD),Electric
14573444,22338435,Tesla,Model 3,2020,$46690,Used,50,Automatic,Rear-wheel drive (RWD),Electric
14573445,22338433,Tesla,Model 3,2020,$46690,Used,50,Automatic,Rear-wheel drive (RWD),Electric
14573446,22337878,Mazda,3,2015,$8490,Used,75042,Automatic,Front-wheel drive (FWD),Gas
14573447,22338513,Nissan,Rogue,2016,$18990,Used,39419,Automatic,All-wheel drive (AWD),Gas
14573448,22338430,Tesla,Model 3,2020,$47990,Used,50,Automatic,Rear-wheel drive (RWD),Electric
14573449,22337858,Dodge,Grand Caravan,2008,$7995,Used,124000,Automatic,Front-wheel drive (FWD),Gas
14573451,22338323,Honda,Civic,2015,$9575,Certified Pre-Owned,83688,Manual,Front-wheel drive (FWD),Gas
14573547,22338104,Toyota,RAV 4,2013,$17995,Used,71163,Automatic,All-wheel drive (AWD),Gas
14573548,22338116,Honda,Civic,2012,$8980,Used,135291,Automatic,Front-wheel drive (FWD),Gas
14573549,22338103,Subaru,Outback,2015,$18495,Used,113083,Automatic,All-wheel drive (AWD),Gas
14573551,22338141,Toyota,RAV 4,2016,$25995,Used,87491,Automatic,All-wheel drive (AWD),Hybrid
14573552,22338415,Subaru,Forester,2018,$22994,Used,52215,Automatic,All-wheel drive (AWD),Gas
14573553,21763342,Alfa Romeo,4C,2015,$57800,Used,8156,Automatic,Rear-wheel drive (RWD),Gas
14573554,22276732,Kia,Soul,2017,$13800,Used,74500,Manual,Front-wheel drive (FWD),Gas
14573555,22055650,Ford,Explorer,2016,$29800,Used,96948,Automatic,Four-wheel drive,Gas
14573556,22053010,Dodge,Grand Caravan,2013,$10800,Used,139771,Automatic,Front-wheel drive (FWD),Gas
14573557,21980946,Dodge,Grand Caravan,2014,$12800,Used,86300,Automatic,Front-wheel drive (FWD),Gas
14573558,22291280,Kia,Sorento,2017,$18799,Used,69000,Automatic,All-wheel drive (AWD),Gas
14573559,21582947,Volkswagen,GTI,2016,$21800,Used,57710,Manual,Front-wheel drive (FWD),Gas
14573560,21582946,Chevrolet,Trax,2015,$18800,Used,65314,Automatic,All-wheel drive (AWD),Gas
14573561,1499659533,Honda,Accord,2008,$5700,Used,133000,Automatic,N/A,Gas
14573650,22337885,Ford,F 150,2006,$4995,Used,203500,Automatic,Four-wheel drive,Gas
14573651,22337993,Nissan,Sentra,2018,$16995,Used,49669,Automatic,Front-wheel drive (FWD),Gas
14573652,22338345,Tesla,Model 3,2020,$46690,Used,50,Automatic,Rear-wheel drive (RWD),Electric
14573653,22338342,Tesla,Model 3,2020,$46690,Used,50,Automatic,Rear-wheel drive (RWD),Electric
14573654,22337998,Dodge,Grand Caravan,2009,$5999,Used,187370,Automatic,Front-wheel drive (FWD),Other
14573656,22338343,Tesla,Model 3,2020,$46690,Used,50,Automatic,Rear-wheel drive (RWD),Electric
14573657,22338329,Ford,Escape,2016,$15495,Used,46713,Automatic,Front-wheel drive (FWD),Gas
14573660,1499659860,BMW,3 Series,2004,$4500,Used,260000,Automatic,Rear-wheel drive (RWD),Gas
14573661,1499659950,Chevrolet,C\\u002FK 1500,1988,$2300,Used,180000,Automatic,Four-wheel drive,Gas
14573663,1499659958,Ford,Other,2004,$65000,Used,312000,Automatic,Rear-wheel drive (RWD),Gas
14573757,22248737,Audi,Q5,2019,$49016,Used,10750,Automatic,All-wheel drive (AWD),Gas
14573758,22338336,Honda,CR-V,2020,$43031,New,33,Automatic,All-wheel drive (AWD),Gas
14573759,22338403,Honda,Pilot,2019,$46995,New,130,Automatic,All-wheel drive (AWD),Gas
14573760,22289964,Audi,R8,2017,$160896,Used,23887,Automatic,All-wheel drive (AWD),Gas
14573761,22338490,Honda,Civic,2019,$24495,New,81,Automatic,Front-wheel drive (FWD),Gas
14573762,22338458,Honda,Accord,2019,$32995,New,283,Automatic,Front-wheel drive (FWD),Gas
14573763,22338446,Honda,Ridgeline,2019,$48995,New,31,Automatic,All-wheel drive (AWD),Gas
14573764,22338377,Honda,Pilot,2020,$42995,New,81,Automatic,All-wheel drive (AWD),Gas
14573765,22338334,Honda,Pilot,2020,$45831,New,239,Automatic,All-wheel drive (AWD),Gas
14573766,22337994,Ford,Edge,2016,$26500,Used,34953,Automatic,All-wheel drive (AWD),Gas
14573767,22231878,Audi,Q5,2018,$42896,Used,72918,Automatic,All-wheel drive (AWD),Gas
14573768,22338349,Honda,CR-V,2020,$33731,New,21,Automatic,All-wheel drive (AWD),Gas
14573769,22338368,Honda,Civic,2020,$25495,New,27,Automatic,Front-wheel drive (FWD),Gas
14573770,22338384,Honda,Odyssey,2020,$54995,New,53,Automatic,Front-wheel drive (FWD),Gas
14573771,22231877,Audi,Q5,2019,$50916,Used,7844,Automatic,All-wheel drive (AWD),Gas
14573858,22338482,Honda,Civic,2020,$26995,New,16,Automatic,Front-wheel drive (FWD),Gas
14573859,22338502,Honda,Passport,2020,$51345,New,57,Automatic,All-wheel drive (AWD),Gas
14573860,22338407,Honda,Civic,2020,$30995,New,5,Automatic,Front-wheel drive (FWD),Gas
14573861,22338445,Honda,CR-V,2020,$36745,New,43,Automatic,All-wheel drive (AWD),Gas
14573862,22338467,Honda,Pilot,2020,$57995,New,5,Automatic,All-wheel drive (AWD),Gas
14573863,22338460,Honda,Civic,2020,$34995,New,34,Automatic,Front-wheel drive (FWD),Gas
14573864,22338500,Honda,CR-V,2020,$42995,New,32,Automatic,All-wheel drive (AWD),Gas
14573865,22338453,Honda,Pilot,2020,$55845,New,5,Automatic,All-wheel drive (AWD),Gas
14573866,22338494,Honda,Civic,2020,$30445,New,19,Automatic,Front-wheel drive (FWD),Gas
14573867,22338450,Honda,CR-V,2020,$42995,New,16,Automatic,All-wheel drive (AWD),Gas
14573868,22338465,Honda,CR-V,2020,$39645,New,31,Automatic,All-wheel drive (AWD),Gas
14573869,22338452,Honda,Civic,2020,$26995,New,16,Automatic,Front-wheel drive (FWD),Gas
14573870,22338469,Honda,CR-V,2020,$39645,New,31,Automatic,All-wheel drive (AWD),Gas
14573871,22338447,Honda,CR-V,2020,$39645,New,5,Automatic,All-wheel drive (AWD),Gas
14573872,22338476,Honda,Ridgeline,2020,$46995,New,5,Automatic,All-wheel drive (AWD),Gas
14573952,1499660935,Audi,TT,2000,$5375,Used,160000,Manual,Front-wheel drive (FWD),Gas
14573954,1499660933,Toyota,Camry,2012,N/A,Used,225000,Automatic,N/A,Gas
14573956,1499660964,Ford,Escape,2011,$9700,Used,80000,Automatic,Front-wheel drive (FWD),Gas
14573959,1499661077,Pontiac,Montana,2001,$800,Used,373000,N/A,N/A,Gas
14573960,1499661095,Volkswagen,GTI,2015,$17500,Used,116000,Automatic,Other,Other
14573963,22339199,Cadillac,XT5,2017,N/A,Used,24162,Automatic,All-wheel drive (AWD),Gas
14573964,22215813,Ford,Fusion,2017,$15988,Used,74020,Automatic,Other,Gas
14574056,22338551,Chevrolet,Malibu,2015,$6995,Used,272698,Automatic,Front-wheel drive (FWD),Gas
14574057,22338550,Mercedes-Benz,Sprinter Wagon,2011,$15800,Used,190216,Automatic,Rear-wheel drive (RWD),Gas
14574058,22339840,Chevrolet,Silverado 1500,2018,$43500,Used,32548,Automatic,Four-wheel drive,Gas
14574059,22338559,Mercedes-Benz,Sprinter Wagon,2011,$17000,Used,135115,Automatic,Rear-wheel drive (RWD),Gas
14574060,22339862,Cadillac,XT5,2019,$42000,Certified Pre-Owned,9375,Automatic,All-wheel drive (AWD),Gas
14574061,22337517,GMC,Sierra 1500,2010,$11990,Used,194000,Automatic,Four-wheel drive,Gas
14574062,22337523,Ford,Other,2010,$11995,Used,119000,Automatic,Rear-wheel drive (RWD),Gas
14574064,22337843,Mercedes-Benz,Sprinter Wagon,2012,$18500,Used,189000,Automatic,Rear-wheel drive (RWD),Gas
14574065,22337727,Mazda,3,2010,$4950,Used,196779,Manual,Other,Gas
14574067,22339837,Chevrolet,Tahoe,2018,$47500,Used,29149,Automatic,Four-wheel drive,Gas
14574068,22337616,Hyundai,Elantra,2013,$6990,Used,148000,Manual,Front-wheel drive (FWD),Gas
14574069,22337702,Buick,Rendezvous,2003,$1880,Used,215000,Automatic,Other,Gas
14574070,22338058,Volkswagen,Jetta,2014,N/A,Used,125000,Automatic,Front-wheel drive (FWD),Diesel
14574122,22339775,Mercedes-Benz,GLC,2018,$32888,Used,86000,Automatic,All-wheel drive (AWD),Gas
14574123,22339753,Ford,Escape,2017,$8999,Used,1,Automatic,Other,Other
14574125,22339764,Mercedes-Benz,GLA,2017,$24888,Used,9000,Automatic,All-wheel drive (AWD),Gas
14574126,22339745,BMW,3 Series,2014,$13990,Used,129647,Automatic,All-wheel drive (AWD),Gas
14574127,22339741,Volkswagen,Golf,2010,$8444,Used,156676,Manual,Front-wheel drive (FWD),Diesel
14574128,22339736,Ford,Edge,2014,$22999,Used,153415,Automatic,All-wheel drive (AWD),Gas
14574129,22339731,Ford,F 150,2018,$28990,Used,96254,Automatic,Four-wheel drive,Gas
14574130,22339728,Ford,Explorer,2013,$22904,Used,127234,Automatic,Four-wheel drive,Gas
14574132,22339678,Nissan,Murano,2015,$23104,Used,104072,Automatic,All-wheel drive (AWD),Gas
14574133,22339721,RAM,1500,2014,$32604,Used,143936,Automatic,Four-wheel drive,Diesel
14574134,22339759,Honda,Ridgeline,2006,$9750,Used,201000,Automatic,Four-wheel drive,Gas
14574135,22339786,Hyundai,Elantra,2012,$6495,Used,141000,Automatic,Other,Other
14574136,22339770,Volkswagen,Passat,2010,$3395,Used,195000,Automatic,Front-wheel drive (FWD),Gas
14574231,1499662788,Honda,Civic,2016,$15900,Used,62000,Automatic,Front-wheel drive (FWD),Gas
14574233,1499662794,Saturn,VUE,2004,$1500,Used,265000,Automatic,All-wheel drive (AWD),N/A
14574234,1499662796,Mitsubishi,Eclipse,2007,$2200,Used,265854,Automatic,Front-wheel drive (FWD),Gas
14574235,1499662814,RAM,1500,2004,$2800,Used,230000,Automatic,Rear-wheel drive (RWD),Gas
14574238,1499662841,Chevrolet,Other,2011,$9000,Used,379844,Automatic,N/A,Gas
14574241,1499662882,Nissan,Maxima,2012,$11900,Used,68800,Automatic,Front-wheel drive (FWD),Gas
14574242,1499662890,Pontiac,Trans Am,2002,$22000,Used,12000,Manual,Rear-wheel drive (RWD),Gas
14574243,1499662892,Ford,Ranger,2002,$3000,Used,226000,Automatic,Rear-wheel drive (RWD),Gas
14574342,1499663877,Nissan,Altima,2006,$2850,Used,152000,Automatic,Front-wheel drive (FWD),Gas
14574346,1499663923,Chrysler,Intrepid,2001,$1200,Used,74708,Automatic,Front-wheel drive (FWD),Gas
14574349,1499663968,Pontiac,Montana,2001,$1000,Used,195323,Automatic,Front-wheel drive (FWD),Gas
14574354,1499664018,GMC,Canyon,2009,$10500,Used,126000,Automatic,Four-wheel drive,Gas
14574453,1499665230,Acura,CSX,2006,$6800,Used,195000,Manual,Front-wheel drive (FWD),Gas
14574454,1499665246,Toyota,Sienna,2018,$35500,Used,20400,Automatic,All-wheel drive (AWD),Gas
14574455,1499665266,Acura,TSX,2006,$7000,Used,227000,Automatic,N/A,N/A
14574566,1499666656,Toyota,Corolla,2020,N/A,Used,10000,Automatic,Front-wheel drive (FWD),N/A
14574567,1499666692,BMW,3 Series,2007,$7500,Used,225,N/A,N/A,N/A
14574568,1499666732,Acura,CSX,2009,$5500,Used,215000,N/A,N/A,N/A
14574571,d71f5fc5-561d-42a6-aa4f-85f396f5af77,BMW,3 Series,2007,$7500,Used,225,Manual,Rear-wheel drive (RWD),Gas
14574572,1499666800,Lincoln,Mark LT,2006,$5555,Used,478000,Automatic,Four-wheel drive,Gas
14574573,1499666793,GMC,Sierra 1500,2009,$7500,Used,183000,Automatic,Four-wheel drive,Gas
14574576,1499666812,GMC,Sierra 2500,2009,$12500,Used,318000,Automatic,Four-wheel drive,Diesel
14574577,1499666831,Ford,Focus,2001,$15000,Used,35000,Manual,N/A,Gas
14574672,1499667846,Chevrolet,Blazer,2000,N/A,Used,187500,Automatic,Four-wheel drive,Gas
14574675,1499667874,RAM,1500,2012,$10000,Used,80000,Automatic,Other,Gas
14574677,1499667893,Chrysler,200,2013,$3900,Used,185000,Automatic,N/A,N/A
14574678,1499667896,Audi,Q3,2015,$19999,Used,97000,Automatic,All-wheel drive (AWD),Gas
14574679,1499667931,Dodge,Journey,2010,$5500,Used,149000,N/A,Front-wheel drive (FWD),N/A
14574681,1499667947,Chevrolet,Equinox,2007,$4000,Used,186666,Automatic,All-wheel drive (AWD),Gas
14574682,1499667961,Ford,F 150,2005,$1750,Used,260000,Automatic,Four-wheel drive,N/A
14574766,1499668966,Lexus,GX,2012,$26000,Used,181200,N/A,Four-wheel drive,N/A
14574767,1499668980,Audi,A6,2009,$6000,Used,100000,Automatic,Front-wheel drive (FWD),Gas
14574770,1499668998,Chevrolet,Impala,2014,$8995,Used,159,Automatic,Front-wheel drive (FWD),Gas
14574773,1499669025,RAM,1500,2012,$16000,Used,188500,Automatic,Four-wheel drive,Gas
14574774,1499669034,Ford,F 150,2008,$1500,Damaged,216,Automatic,Four-wheel drive,N/A
14574775,1499669059,Chevrolet,Suburban,1990,$14995,Used,7000,Automatic,N/A,N/A
14574776,1499669079,Mercedes-Benz,C-Class,2011,$9500,Used,93000,N/A,N/A,N/A
14574871,1499670274,Honda,Civic,2003,$800,Used,350306,Automatic,Front-wheel drive (FWD),Gas
14574872,1499670275,Hyundai,Sonata,2006,$3700,Used,139000,Automatic,Front-wheel drive (FWD),Gas
14574873,1499670292,Jeep,Patriot,2010,$4700,Used,128000,Automatic,Four-wheel drive,Gas
14574874,1499670323,Dodge,Journey,2012,$6500,Used,100000,Automatic,Front-wheel drive (FWD),Gas
14574875,1499670341,Honda,Accord,2008,$3500,Used,240000,Automatic,Front-wheel drive (FWD),N/A
14574877,1499670375,Subaru,Impreza,2008,$3000,Used,203000,Automatic,All-wheel drive (AWD),N/A
14574982,1499671596,Acura,CSX,2006,$3998,Used,182000,Automatic,N/A,N/A
14574985,1499671619,Dodge,Caliber,2008,$2500,Used,163330,Automatic,Front-wheel drive (FWD),Gas
14574988,1499671645,Chevrolet,Impala,2006,$2500,Used,260000,Automatic,Front-wheel drive (FWD),Gas
14574989,22339892,Toyota,Camry,1999,$900,Used,300000,Automatic,Other,Gas
14574990,1499671671,Nissan,Altima,2003,$600,Used,370000,Automatic,Front-wheel drive (FWD),Gas
14574991,1499671674,RAM,1500,2014,$1,Used,62000,Automatic,Four-wheel drive,Gas
14574992,22339900,Mercury,Grand Marquis,2004,$4499,Used,106000,Automatic,Rear-wheel drive (RWD),Gas
14574993,1499671688,GMC,Other,2011,$17500,Used,210000,Automatic,All-wheel drive (AWD),Other
14575092,1499672444,Ford,F 350,2000,$9000,Used,324000,Automatic,Four-wheel drive,Diesel
14575093,1499672462,Dodge,Challenger,2011,$19500,Used,188000,Automatic,Rear-wheel drive (RWD),Gas
14575095,1499672469,Hyundai,Santa Fe,2006,$3750,Used,146524,Manual,Front-wheel drive (FWD),Gas
14575097,1499672474,RAM,3500,2019,$75000,Used,23000,Automatic,Four-wheel drive,Diesel
14575098,1499672484,Audi,A4,2014,$8500,Used,157000,Automatic,All-wheel drive (AWD),Gas
14575099,1499672485,Mitsubishi,Lancer,2009,$3500,Used,195000,Automatic,N/A,N/A
14575100,1499672519,Mercedes-Benz,Other,2003,$3800,Used,285000,Automatic,Rear-wheel drive (RWD),Gas
14575101,1499672520,Mazda,3 Sport,2018,$311,Used,37340,Automatic,N/A,N/A
14575103,1499672576,Pontiac,Le Mans,1977,$600,Used,80000,Automatic,N/A,N/A
14575198,1499673658,Audi,A4,2009,$8500,Used,210,Automatic,Four-wheel drive,N/A
14575199,1499673691,Lexus,Other,2003,$6200,Used,212353,Automatic,All-wheel drive (AWD),Gas
14575201,1499673709,Chevrolet,Silverado 2500,2006,$15200,Used,317561,Automatic,Four-wheel drive,Diesel
14575202,1499673741,Chrysler,Town & Country,2012,$9000,Used,142000,Automatic,Front-wheel drive (FWD),Gas
14575203,1499673756,Mazda,MX-6,1993,$2500,Used,180000,N/A,Front-wheel drive (FWD),Gas
14575206,1499673770,Toyota,Prius V,2012,$6500,Used,550000,Automatic,Front-wheel drive (FWD),Electric
14575207,1499673778,Mercedes-Benz,E-Class,2008,$26500,Used,87500,Automatic,Rear-wheel drive (RWD),N/A
14575209,1499673842,Dodge,Caravan,2003,$1500,Used,360000,Automatic,N/A,Gas
14575246,1499674307,Dodge,Journey,2010,$3999,Used,162000,Automatic,Front-wheel drive (FWD),N/A
14575246,1499674307,Dodge,Journey,2010,$3999,Used,162000,Automatic,Front-wheel drive (FWD),N/A
14575247,1499674309,Toyota,Highlander,2006,$4799,Used,256156,Automatic,Four-wheel drive,Gas
14575278,1499674672,Ford,F 150,2010,$9500,Used,285,Automatic,Four-wheel drive,Gas
14575279,1499674669,Hyundai,Elantra,2013,$9000,Used,91310,Automatic,Front-wheel drive (FWD),Gas
